,count,mean,std,min,25%,50%,75%,max,missing,missing_pct,skewness,kurtosis
spy,4173.0,337.7833176664731,145.85117351430682,153.83006286621094,213.29864501953125,297.0732421875,424.3563232421875,695.489990234375,0,0.0,0.6992162988864298,-0.5091049145325952
qqq,4173.0,264.6828144566207,149.23919165434606,84.20404815673828,134.83914184570312,227.8520050048828,360.8048400878906,634.9519653320312,0,0.0,0.6877018966761854,-0.5645029546495217
iwm,4173.0,159.1981042148454,43.484586698320726,83.26619720458984,123.19456481933594,152.05690002441406,196.92291259765625,269.7900085449219,0,0.0,0.27370407955439563,-0.9485301376560722
btc_usd,4173.0,27506.91265054461,32059.590335099278,178.10299682617188,2805.6201171875,10975.599609375,43023.97265625,124752.53125,0,0.0,1.2767395441815719,0.5956577354250783
vix,4173.0,18.166899128494975,6.9541688841309774,9.140000343322754,13.489999771118164,16.3799991607666,20.969999313354492,82.69000244140625,0,0.0,2.560372735759906,12.544632939470556
xlf,4173.0,28.799452862121377,10.984321830802326,13.257007598876953,20.487218856811523,25.123613357543945,34.934410095214844,56.400001525878906,0,0.0,0.7360242513460886,-0.3574764935587509
xlk,4173.0,57.67103068582337,35.99458522734872,16.240995407104492,26.202566146850586,48.305023193359375,80.55583190917969,151.83470153808594,0,0.0,0.7413826416235102,-0.48382193970141385
xle,4173.0,28.756031260340727,9.433580171273668,9.305682182312012,22.454326629638672,24.814647674560547,38.72191619873047,54.97999954223633,0,0.0,0.47327802126045987,-0.9430076767502382
xlv,4173.0,98.57250744188657,31.413451733624786,50.0780143737793,68.88532257080078,93.2936019897461,126.7427749633789,159.66000366210938,0,0.0,0.14669248200400162,-1.4546921122498795
gld,4173.0,167.69972670349662,66.48134064683387,100.5,120.41999816894531,158.00999450683594,181.0800018310547,495.8999938964844,0,0.0,1.9799890231957984,4.275364216039726
uso,4173.0,83.81059418574758,36.01922026269662,17.040000915527344,68.69000244140625,78.0,93.76000213623047,284.1600036621094,0,0.0,2.002089667607639,7.392062916912697
spy_open,4173.0,337.7171932325107,145.81285219217813,151.1790964021051,213.56075494675216,297.13805552103923,424.0351838301639,697.0499877929688,0,0.0,0.7002360468525276,-0.506244591529549
